UID | Filename | Date | Time | Access_Type | Action_Denied | Fingerprint |
1000|file_0|28-10-2021|19:48:43|0|0|00000000000000000000000000000000|
1000|file_0|28-10-2021|19:48:43|2|0|6EB512CB2557734C63F6FA15EF61EF9F|
1000|file_1|28-10-2021|19:48:43|0|0|00000000000000000000000000000000|
1000|file_1|28-10-2021|19:48:43|2|0|BA9D332813A722B273A95FA13DD88D94|
1000|file_2|28-10-2021|19:48:43|0|0|00000000000000000000000000000000|
1000|file_2|28-10-2021|19:48:43|2|0|92ED3B5F07B44BC4F70D0B24D5E1867C|
1000|file_3|28-10-2021|19:48:43|0|0|00000000000000000000000000000000|
1000|file_3|28-10-2021|19:48:43|2|0|797B373A9C4EC0D6DE0A31A90B5BEE8E|
1000|file_4|28-10-2021|19:48:43|0|0|00000000000000000000000000000000|
1000|file_4|28-10-2021|19:48:43|2|0|74A02CCE629C5F4C0BD3C0B60DB915E4|
1000|file_5|28-10-2021|19:48:43|0|0|00000000000000000000000000000000|
1000|file_5|28-10-2021|19:48:43|2|0|3D58B0EBC69908C51A9273135F3AAC3F|
1000|file_6|28-10-2021|19:48:43|0|0|00000000000000000000000000000000|
1000|file_6|28-10-2021|19:48:43|2|0|045E4D119474A0FFE08E1632CA286C9C|
1000|file_7|28-10-2021|19:48:43|0|0|00000000000000000000000000000000|
1000|file_7|28-10-2021|19:48:43|2|0|1813845C8E402F8D0482A5D274DC5596|
1000|file_8|28-10-2021|19:48:43|0|0|00000000000000000000000000000000|
1000|file_8|28-10-2021|19:48:43|2|0|E4492ED6BAFA3B349CAF653A02864D67|
1000|file_9|28-10-2021|19:48:43|0|0|00000000000000000000000000000000|
1000|file_9|28-10-2021|19:48:43|2|0|DD6838271569DBFCEB004806672BE7D9|
1000|file_0|28-10-2021|19:48:43|1|1|00000000000000000000000000000000|
1000|file_1|28-10-2021|19:48:43|1|1|00000000000000000000000000000000|
1000|file_2|28-10-2021|19:48:43|1|1|00000000000000000000000000000000|
1000|file_3|28-10-2021|19:48:43|1|1|00000000000000000000000000000000|
1000|file_4|28-10-2021|19:48:43|1|1|00000000000000000000000000000000|
1000|file_5|28-10-2021|19:48:43|1|1|00000000000000000000000000000000|
1000|file_6|28-10-2021|19:48:43|1|1|00000000000000000000000000000000|
1000|file_7|28-10-2021|19:48:43|1|1|00000000000000000000000000000000|
1000|file_8|28-10-2021|19:48:43|1|1|00000000000000000000000000000000|
1000|file_9|28-10-2021|19:48:43|1|1|00000000000000000000000000000000|
1000|file_0|28-10-2021|19:48:43|1|0|6EB512CB2557734C63F6FA15EF61EF9F|
1000|file_0|28-10-2021|19:48:43|2|1|6EB512CB2557734C63F6FA15EF61EF9F|
1000|file_1|28-10-2021|19:48:43|1|0|BA9D332813A722B273A95FA13DD88D94|
1000|file_1|28-10-2021|19:48:43|2|1|BA9D332813A722B273A95FA13DD88D94|
1000|file_2|28-10-2021|19:48:43|1|0|92ED3B5F07B44BC4F70D0B24D5E1867C|
1000|file_2|28-10-2021|19:48:43|2|1|92ED3B5F07B44BC4F70D0B24D5E1867C|
1000|file_3|28-10-2021|19:48:43|1|0|797B373A9C4EC0D6DE0A31A90B5BEE8E|
1000|file_3|28-10-2021|19:48:43|2|1|797B373A9C4EC0D6DE0A31A90B5BEE8E|
1000|file_4|28-10-2021|19:48:43|1|0|74A02CCE629C5F4C0BD3C0B60DB915E4|
1000|file_4|28-10-2021|19:48:43|2|1|74A02CCE629C5F4C0BD3C0B60DB915E4|
1000|file_5|28-10-2021|19:48:43|1|0|3D58B0EBC69908C51A9273135F3AAC3F|
1000|file_5|28-10-2021|19:48:43|2|1|3D58B0EBC69908C51A9273135F3AAC3F|
1000|file_6|28-10-2021|19:48:43|1|0|045E4D119474A0FFE08E1632CA286C9C|
1000|file_6|28-10-2021|19:48:43|2|1|045E4D119474A0FFE08E1632CA286C9C|
1000|file_7|28-10-2021|19:48:43|1|0|1813845C8E402F8D0482A5D274DC5596|
1000|file_7|28-10-2021|19:48:43|2|1|1813845C8E402F8D0482A5D274DC5596|
1000|file_8|28-10-2021|19:48:43|1|0|E4492ED6BAFA3B349CAF653A02864D67|
1000|file_8|28-10-2021|19:48:43|2|1|E4492ED6BAFA3B349CAF653A02864D67|
1000|file_9|28-10-2021|19:48:43|1|0|DD6838271569DBFCEB004806672BE7D9|
1000|file_9|28-10-2021|19:48:43|2|1|DD6838271569DBFCEB004806672BE7D9|
1000|file_0|28-10-2021|19:48:43|1|0|6EB512CB2557734C63F6FA15EF61EF9F|
1000|file_0|28-10-2021|19:48:43|2|0|04FC4D2EA7482C83FA03849E832CEE9B|
1000|file_1|28-10-2021|19:48:43|1|0|BA9D332813A722B273A95FA13DD88D94|
1000|file_1|28-10-2021|19:48:43|2|0|8CEDD94DF857EB09FEF87FDFCB5CCC06|
1000|file_2|28-10-2021|19:48:43|1|0|92ED3B5F07B44BC4F70D0B24D5E1867C|
1000|file_2|28-10-2021|19:48:43|2|0|2F9BE41593FC6899A96FB662D7A4C38C|
1000|file_3|28-10-2021|19:48:43|1|0|797B373A9C4EC0D6DE0A31A90B5BEE8E|
1000|file_3|28-10-2021|19:48:43|2|0|2AE1F3075BD5341E0F12F1A58F8643F4|
1000|file_4|28-10-2021|19:48:43|1|0|74A02CCE629C5F4C0BD3C0B60DB915E4|
1000|file_4|28-10-2021|19:48:43|2|0|AC5705929F64188B0714A94071474302|
1000|file_5|28-10-2021|19:48:43|1|0|3D58B0EBC69908C51A9273135F3AAC3F|
1000|file_5|28-10-2021|19:48:43|2|0|8AE1C8B1ED1618CD2635CECEACB402C1|
1000|file_6|28-10-2021|19:48:43|1|0|045E4D119474A0FFE08E1632CA286C9C|
1000|file_6|28-10-2021|19:48:43|2|0|BA004691A8C7A15EEA3933D99244B595|
1000|file_7|28-10-2021|19:48:43|1|0|1813845C8E402F8D0482A5D274DC5596|
1000|file_7|28-10-2021|19:48:43|2|0|13441BBFAC4844580E920D0CBDB889FD|
1000|file_8|28-10-2021|19:48:43|1|0|E4492ED6BAFA3B349CAF653A02864D67|
1000|file_8|28-10-2021|19:48:43|2|0|806F39C41029ED8E1153603FF2FE13A9|
1000|file_9|28-10-2021|19:48:43|1|0|DD6838271569DBFCEB004806672BE7D9|
1000|file_9|28-10-2021|19:48:43|2|0|1B7925497413ED89E175775D27C50A12|
0|file_0|28-10-2021|19:49:03|1|0|00000000000000000000000000000000|
0|file_0|28-10-2021|19:49:03|2|0|6EB512CB2557734C63F6FA15EF61EF9F|
0|file_1|28-10-2021|19:49:03|1|0|00000000000000000000000000000000|
0|file_1|28-10-2021|19:49:03|2|0|BA9D332813A722B273A95FA13DD88D94|
0|file_2|28-10-2021|19:49:03|1|0|00000000000000000000000000000000|
0|file_2|28-10-2021|19:49:03|2|0|92ED3B5F07B44BC4F70D0B24D5E1867C|
0|file_3|28-10-2021|19:49:03|1|0|00000000000000000000000000000000|
0|file_3|28-10-2021|19:49:03|2|0|797B373A9C4EC0D6DE0A31A90B5BEE8E|
0|file_4|28-10-2021|19:49:03|1|0|00000000000000000000000000000000|
0|file_4|28-10-2021|19:49:03|2|0|74A02CCE629C5F4C0BD3C0B60DB915E4|
0|file_5|28-10-2021|19:49:03|1|0|00000000000000000000000000000000|
0|file_5|28-10-2021|19:49:03|2|0|3D58B0EBC69908C51A9273135F3AAC3F|
0|file_6|28-10-2021|19:49:03|1|0|00000000000000000000000000000000|
0|file_6|28-10-2021|19:49:03|2|0|045E4D119474A0FFE08E1632CA286C9C|
0|file_7|28-10-2021|19:49:03|1|0|00000000000000000000000000000000|
0|file_7|28-10-2021|19:49:03|2|0|1813845C8E402F8D0482A5D274DC5596|
0|file_8|28-10-2021|19:49:03|1|0|00000000000000000000000000000000|
0|file_8|28-10-2021|19:49:03|2|0|E4492ED6BAFA3B349CAF653A02864D67|
0|file_9|28-10-2021|19:49:03|1|0|00000000000000000000000000000000|
0|file_9|28-10-2021|19:49:03|2|0|DD6838271569DBFCEB004806672BE7D9|
0|file_0|28-10-2021|19:49:03|1|0|00000000000000000000000000000000|
0|file_0|28-10-2021|19:49:03|2|0|6EB512CB2557734C63F6FA15EF61EF9F|
0|file_1|28-10-2021|19:49:03|1|0|00000000000000000000000000000000|
0|file_1|28-10-2021|19:49:03|2|0|BA9D332813A722B273A95FA13DD88D94|
0|file_2|28-10-2021|19:49:03|1|0|00000000000000000000000000000000|
0|file_2|28-10-2021|19:49:03|2|0|92ED3B5F07B44BC4F70D0B24D5E1867C|
0|file_3|28-10-2021|19:49:03|1|0|00000000000000000000000000000000|
0|file_3|28-10-2021|19:49:03|2|0|797B373A9C4EC0D6DE0A31A90B5BEE8E|
0|file_4|28-10-2021|19:49:03|1|0|00000000000000000000000000000000|
0|file_4|28-10-2021|19:49:03|2|0|74A02CCE629C5F4C0BD3C0B60DB915E4|
0|file_5|28-10-2021|19:49:03|1|0|00000000000000000000000000000000|
0|file_5|28-10-2021|19:49:03|2|0|3D58B0EBC69908C51A9273135F3AAC3F|
0|file_6|28-10-2021|19:49:03|1|0|00000000000000000000000000000000|
0|file_6|28-10-2021|19:49:03|2|0|045E4D119474A0FFE08E1632CA286C9C|
0|file_7|28-10-2021|19:49:03|1|0|00000000000000000000000000000000|
0|file_7|28-10-2021|19:49:03|2|0|1813845C8E402F8D0482A5D274DC5596|
0|file_8|28-10-2021|19:49:03|1|0|00000000000000000000000000000000|
0|file_8|28-10-2021|19:49:03|2|0|E4492ED6BAFA3B349CAF653A02864D67|
0|file_9|28-10-2021|19:49:03|1|0|00000000000000000000000000000000|
0|file_9|28-10-2021|19:49:03|2|0|DD6838271569DBFCEB004806672BE7D9|
0|file_0|28-10-2021|19:49:03|1|0|6EB512CB2557734C63F6FA15EF61EF9F|
0|file_0|28-10-2021|19:49:03|2|1|6EB512CB2557734C63F6FA15EF61EF9F|
0|file_1|28-10-2021|19:49:03|1|0|BA9D332813A722B273A95FA13DD88D94|
0|file_1|28-10-2021|19:49:03|2|1|BA9D332813A722B273A95FA13DD88D94|
0|file_2|28-10-2021|19:49:03|1|0|92ED3B5F07B44BC4F70D0B24D5E1867C|
0|file_2|28-10-2021|19:49:03|2|1|92ED3B5F07B44BC4F70D0B24D5E1867C|
0|file_3|28-10-2021|19:49:03|1|0|797B373A9C4EC0D6DE0A31A90B5BEE8E|
0|file_3|28-10-2021|19:49:03|2|1|797B373A9C4EC0D6DE0A31A90B5BEE8E|
0|file_4|28-10-2021|19:49:03|1|0|74A02CCE629C5F4C0BD3C0B60DB915E4|
0|file_4|28-10-2021|19:49:03|2|1|74A02CCE629C5F4C0BD3C0B60DB915E4|
0|file_5|28-10-2021|19:49:03|1|0|3D58B0EBC69908C51A9273135F3AAC3F|
0|file_5|28-10-2021|19:49:03|2|1|3D58B0EBC69908C51A9273135F3AAC3F|
0|file_6|28-10-2021|19:49:03|1|0|045E4D119474A0FFE08E1632CA286C9C|
0|file_6|28-10-2021|19:49:03|2|1|045E4D119474A0FFE08E1632CA286C9C|
0|file_7|28-10-2021|19:49:03|1|0|1813845C8E402F8D0482A5D274DC5596|
0|file_7|28-10-2021|19:49:03|2|1|1813845C8E402F8D0482A5D274DC5596|
0|file_8|28-10-2021|19:49:03|1|0|E4492ED6BAFA3B349CAF653A02864D67|
0|file_8|28-10-2021|19:49:03|2|1|E4492ED6BAFA3B349CAF653A02864D67|
0|file_9|28-10-2021|19:49:03|1|0|DD6838271569DBFCEB004806672BE7D9|
0|file_9|28-10-2021|19:49:03|2|1|DD6838271569DBFCEB004806672BE7D9|
0|file_0|28-10-2021|19:49:03|1|0|6EB512CB2557734C63F6FA15EF61EF9F|
0|file_0|28-10-2021|19:49:03|2|0|04FC4D2EA7482C83FA03849E832CEE9B|
0|file_1|28-10-2021|19:49:03|1|0|BA9D332813A722B273A95FA13DD88D94|
0|file_1|28-10-2021|19:49:03|2|0|8CEDD94DF857EB09FEF87FDFCB5CCC06|
0|file_2|28-10-2021|19:49:03|1|0|92ED3B5F07B44BC4F70D0B24D5E1867C|
0|file_2|28-10-2021|19:49:03|2|0|2F9BE41593FC6899A96FB662D7A4C38C|
0|file_3|28-10-2021|19:49:03|1|0|797B373A9C4EC0D6DE0A31A90B5BEE8E|
0|file_3|28-10-2021|19:49:03|2|0|2AE1F3075BD5341E0F12F1A58F8643F4|
0|file_4|28-10-2021|19:49:03|1|0|74A02CCE629C5F4C0BD3C0B60DB915E4|
0|file_4|28-10-2021|19:49:03|2|0|AC5705929F64188B0714A94071474302|
0|file_5|28-10-2021|19:49:03|1|0|3D58B0EBC69908C51A9273135F3AAC3F|
0|file_5|28-10-2021|19:49:03|2|0|8AE1C8B1ED1618CD2635CECEACB402C1|
0|file_6|28-10-2021|19:49:03|1|0|045E4D119474A0FFE08E1632CA286C9C|
0|file_6|28-10-2021|19:49:03|2|0|BA004691A8C7A15EEA3933D99244B595|
0|file_7|28-10-2021|19:49:03|1|0|1813845C8E402F8D0482A5D274DC5596|
0|file_7|28-10-2021|19:49:03|2|0|13441BBFAC4844580E920D0CBDB889FD|
0|file_8|28-10-2021|19:49:03|1|0|E4492ED6BAFA3B349CAF653A02864D67|
0|file_8|28-10-2021|19:49:03|2|0|806F39C41029ED8E1153603FF2FE13A9|
